GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
5979	3.10e-199	2.19e-203	0.0704	30.4302046	2.141191	4252.97	RET	ret proto-oncogene
283551	9.32e-140	1.32e-143	0.1491	25.5157964	3.8043704	692.47	LINC01588	long intergenic non-protein coding RNA 1588
100507584	3.84e-139	8.14e-143	0.1258	25.4444298	3.2009764	807.75	LINC01016	long intergenic non-protein coding RNA 1016
441027	4.91e-131	1.39e-134	0.0635	-24.6895319	-1.5679571	3801.03	TMEM150C	transmembrane protein 150C
8140	7.08e-121	2.50e-124	0.0549	23.7154484	1.3023561	13799.57	SLC7A5	solute carrier family 7 member 5
8416	2.98e-116	1.26e-119	0.0686	23.2550883	1.5951236	3208.5	ANXA9	annexin A9
80223	5.66e-116	2.80e-119	0.054	23.2209169	1.2540018	8551.67	RAB11FIP1	RAB11 family interacting protein 1
4603	4.27e-108	2.41e-111	0.0767	22.4218175	1.7190752	2208.11	MYBL1	MYB proto-oncogene like 1
5121	2.17e-106	1.38e-109	0.0805	22.2409975	1.7905219	2191.08	PCP4	Purkinje cell protein 4
22822	2.18e-105	1.54e-108	0.0687	22.1325204	1.5200244	8071	PHLDA1	pleckstrin homology like domain family A member 1
9687	5.68e-99	4.41e-102	0.056	21.4515909	1.2002645	9891.4	GREB1	growth regulating estrogen receptor binding 1
3487	1.88e-97	1.59e-100	0.0564	21.2841598	1.2012515	10670.92	IGFBP4	insulin like growth factor binding protein 4
1960	3.29e-97	3.02e-100	0.0898	21.2541361	1.9091198	1351.75	EGR3	early growth response 3
5570	1.77e-94	1.75e-97	0.1143	20.9532133	2.3953068	834.16	PKIB	cAMP-dependent protein kinase inhibitor beta
55638	1.85e-93	1.96e-96	0.117	20.8379529	2.4381697	765.05	SYBU	syntabulin
9368	3.83e-92	4.33e-95	0.0564	20.6892683	1.1676641	12305.45	NHERF1	NHERF family PDZ scaffold protein 1
54894	6.69e-92	8.03e-95	0.0787	-20.6594128	-1.6263409	1851.7	RNF43	ring finger protein 43
771	1.08e-91	1.37e-94	0.0503	20.6336329	1.0378663	26098.66	CA12	carbonic anhydrase 12
3091	1.23e-89	1.66e-92	0.0574	20.400472	1.1717431	16048.85	HIF1A	hypoxia inducible factor 1 subunit alpha
84187	1.37e-87	1.94e-90	0.0547	20.1661783	1.102422	7488.13	TMEM164	transmembrane protein 164
11031	4.84e-86	7.18e-89	0.0584	19.9867494	1.167171	8078.41	RAB31	RAB31, member RAS oncogene family
10761	7.65e-84	1.19e-86	0.1306	19.7301198	2.5759617	617.3	PLAC1	placenta enriched 1
94122	8.27e-77	1.34e-79	0.0644	18.8913627	1.215785	4098.02	SYTL5	synaptotagmin like 5
999	2.85e-70	4.83e-73	0.0467	18.0771202	0.8438714	56888.75	CDH1	cadherin 1
342184	6.73e-70	1.19e-72	0.073	18.0274039	1.3161595	2203.39	FMN1	formin 1
7039	1.38e-68	2.53e-71	0.083	17.8573582	1.4823592	1537.42	TGFA	transforming growth factor alpha
3554	4.34e-68	8.28e-71	0.0921	-17.7911287	-1.6378529	1168.04	IL1R1	interleukin 1 receptor type 1
1889	1.01e-64	2.00e-67	0.0661	17.3491903	1.1465193	5062.54	ECE1	endothelin converting enzyme 1
7078	8.40e-64	1.72e-66	0.0629	17.2251303	1.0833386	3980.66	TIMP3	TIMP metallopeptidase inhibitor 3
79026	9.88e-63	2.09e-65	0.0613	-17.0799516	-1.0463973	21610.46	AHNAK	AHNAK nucleoprotein
7052	1.13e-61	2.48e-64	0.079	16.9351831	1.3372301	2446.31	TGM2	transglutaminase 2
1997	2.47e-61	5.59e-64	0.062	16.8872347	1.0472947	5868.47	ELF1	E74 like ETS transcription factor 1
11254	5.66e-61	1.32e-63	0.0642	-16.8364334	-1.0811574	3450.26	SLC6A14	solute carrier family 6 member 14
