gene_id	CAF_6h_A_S7	CAF_6h_B_S8	CAF_6h_C_S7	CAF_6h_D_S8	CAF_CTL_A_S3	CAF_CTL_B_S4	CAF_CTL_C_S3	CAF_CTL_D_S4	MCF_6h_A_S5	MCF_6h_B_S6	MCF_6h_C_S5	MCF_6h_D_S6	MCF_CTL_A_S1	MCF_CTL_B_S2	MCF_CTL_C_S1	MCF_CTL_D_S2
ENSG00000116032.5	8	4	0	5	12	20	8	0	27	25	14	10	8	28	19	12
ENSG00000058866.14	0	0	0	0	2	2	0	0	0	0	0	0	2	0	6	3
ENSG00000171174.13	172	188	158	164	129	146	194	182	157	195	228	196	151	221	139	150
ENSG00000166257.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149136.8	13892	12724	12636	14757	12041	13554	13028	11838	10762	10339	11879	10821	10469	13062	8797	9897
ENSG00000130254.11	1922	1817	2094	2377	2146	2258	2453	2055	2017	1947	2315	2146	1964	2445	2027	2009
ENSG00000078237.6	1374	1388	1308	1587	1102	1062	1364	1397	856	1065	1367	1164	967	1188	836	1121
ENSG00000137288.9	1281	1193	1460	1544	1098	1222	1177	1118	1254	994	1251	1110	854	1074	923	884
ENSG00000168005.8	853	565	962	1267	1040	1362	1149	891	1089	848	931	796	788	1072	1151	927
ENSG00000158486.13	33	51	26	24	42	50	55	54	39	47	68	85	59	104	83	72
ENSG00000283967.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198242.13	32604	31102	29937	33904	29812	32779	30755	27914	28217	27949	31038	28523	28695	31864	22635	26162
ENSG00000155886.11	3	12	8	12	7	8	17	16	12	12	31	17	9	26	13	8
ENSG00000104889.5	3233	2396	3709	4256	3947	4605	3741	3055	3844	3064	3639	3406	3635	4452	4016	3733
ENSG00000214414.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186007.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000085662.13	0	0	0	0	0	3	0	0	0	0	2	2	0	0	7	4
ENSG00000171848.14	24710	27415	22679	25412	23066	23889	26629	24808	19438	22012	26423	23991	31542	35146	20116	26461
ENSG00000276644.4	558	676	440	527	674	597	553	557	656	808	703	691	796	798	455	598
ENSG00000173451.6	229	265	145	255	271	269	335	298	210	259	342	259	290	363	212	273
ENSG00000105556.11	286	165	313	365	313	359	330	226	457	260	319	277	231	342	366	331
ENSG00000178776.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000100523.14	3292	3692	2663	2935	2003	2125	2192	2255	2414	3367	3180	2763	2144	2331	1481	1706
ENSG00000051825.14	2402	2607	2096	2287	2117	2170	2261	2334	2117	2530	2685	2367	2709	2827	1674	2276
ENSG00000124159.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214128.10	12	5	12	6	0	6	0	6	6	19	8	10	2	5	0	0
ENSG00000094963.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167578.17	240	140	278	353	284	370	303	259	413	316	445	441	344	470	514	442
ENSG00000007516.13	197	127	220	239	218	262	212	117	413	353	306	394	231	349	508	335
ENSG00000096696.13	34850	35459	31613	35690	32809	35606	36201	34242	37852	40271	43817	40209	46434	48500	33945	43174
ENSG00000056586.15	11404	12972	9328	11037	9648	9889	10489	9813	9809	11393	11975	10798	11736	12399	7440	9711
ENSG00000180423.4	560	581	560	651	424	431	554	489	405	480	551	527	426	533	362	420
ENSG00000139343.10	2795	2823	2830	3193	2580	2701	3016	2843	2038	2120	2492	2338	2103	2559	1748	2095
ENSG00000196240.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117560.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166391.14	0	0	0	0	0	0	0	0	0	2	4	6	0	0	0	0
ENSG00000178904.18	4281	4366	3322	3860	3569	3437	3551	3396	3309	3527	3985	3435	4045	3630	2461	3260
ENSG00000186943.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118900.14	5111	4417	5560	5813	5052	6111	5369	4911	6466	5679	6791	6928	5487	7010	5717	6077
ENSG00000115317.11	919	716	897	1121	985	1026	1040	948	820	874	971	937	888	998	784	815
ENSG00000196248.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000103227.18	232	186	331	440	325	518	344	259	452	347	378	312	319	390	465	363
ENSG00000042781.12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131504.15	11382	14870	10841	14909	11510	9450	11514	11624	9839	11621	11392	12006	11481	12748	8411	10517
ENSG00000070087.13	1668	1394	1127	1812	1207	1566	1340	1379	955	1092	1698	993	1133	1548	747	1050
ENSG00000198900.5	27642	30042	24512	29169	22035	22038	26749	25012	19818	23574	27027	23496	20962	23109	14040	19014
ENSG00000180264.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187790.10	1525	1427	1413	1638	1440	1342	1607	1465	1474	1514	1649	1676	1876	1505	1048	1388
ENSG00000184203.7	6234	6848	4882	5722	4920	4734	5489	5334	5271	6100	7022	5952	6347	7163	4006	5073
ENSG00000241360.1	605	445	761	878	638	764	640	558	718	664	691	667	509	681	585	492
ENSG00000153561.12	5180	5609	3975	4699	4395	4572	4778	4554	4428	5063	5514	5040	6320	6475	3753	5003
ENSG00000182631.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142528.15	3154	3102	939	1059	797	2392	2443	2616	877	931	2879	2428	2555	901	1947	2229
ENSG00000230778.1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0
ENSG00000214681.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179262.9	3656	2779	4529	5070	3806	4644	3948	3234	4637	3276	4021	3640	3105	4090	4066	3545
