GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
283551	1.29e-124	9.00e-129	0.182	-24.142264	-4.382477	992.3	LINC01588	long intergenic non-protein coding RNA 1588
100507584	8.98e-105	1.25e-108	0.161	-22.14189	-3.569573	1001.08	LINC01016	long intergenic non-protein coding RNA 1016
5570	1.52e-90	3.16e-94	0.148	-20.593149	-3.041215	1207.51	PKIB	cAMP-dependent protein kinase inhibitor beta
5979	1.30e-79	3.62e-83	0.118	-19.320356	-2.280585	4520.95	RET	ret proto-oncogene
55638	2.97e-72	1.03e-75	0.153	-18.413079	-2.8187	942.42	SYBU	syntabulin
11031	2.41e-58	1.00e-61	0.111	-16.578051	-1.844187	11218.39	RAB31	RAB31, member RAS oncogene family
4603	2.46e-57	1.20e-60	0.132	-16.428537	-2.165108	2770.75	MYBL1	MYB proto-oncogene like 1
54894	1.70e-54	1.06e-57	0.128	16.011484	2.04449	1706.6	RNF43	ring finger protein 43
10761	1.70e-54	1.02e-57	0.17	-16.013789	-2.724477	662.7	PLAC1	placenta enriched 1
5241	2.48e-54	1.73e-57	0.122	-15.981225	-1.945809	4198.52	PGR	progesterone receptor
342184	1.83e-53	1.40e-56	0.117	-15.850409	-1.857078	2865.74	FMN1	formin 1
55244	8.89e-53	7.42e-56	0.245	-15.745137	-3.855966	329.02	SLC47A1	solute carrier family 47 member 1
5121	2.95e-51	2.66e-54	0.129	-15.516967	-2.002262	2415.5	PCP4	Purkinje cell protein 4
1960	1.39e-49	1.35e-52	0.134	-15.2629	-2.048523	1433.7	EGR3	early growth response 3
4886	1.55e-47	1.62e-50	0.129	-14.947413	-1.934957	3653.54	NPY1R	neuropeptide Y receptor Y1
3091	2.02e-46	2.25e-49	0.113	-14.771029	-1.664178	20196.34	HIF1A	hypoxia inducible factor 1 subunit alpha
1997	7.25e-46	8.57e-49	0.114	-14.680682	-1.672095	7866.51	ELF1	E74 like ETS transcription factor 1
3717	3.62e-43	4.53e-46	0.148	-14.249261	-2.109006	1098.46	JAK2	Janus kinase 2
94122	5.25e-43	6.94e-46	0.113	-14.219471	-1.61105	4910.26	SYTL5	synaptotagmin like 5
80223	5.20e-41	7.24e-44	0.107	-13.890464	-1.484665	9423.01	RAB11FIP1	RAB11 family interacting protein 1
22822	9.05e-41	1.32e-43	0.124	-13.847287	-1.717072	8783.67	PHLDA1	pleckstrin homology like domain family A member 1
169200	3.92e-40	5.99e-43	0.114	-13.738237	-1.562648	55639.89	TMEM64	transmembrane protein 64
1591	7.62e-38	1.22e-40	0.254	-13.347894	-3.385882	281.03	CYP24A1	cytochrome P450 family 24 subfamily A member 1
6387	6.20e-37	1.03e-39	0.154	-13.187599	-2.030976	837.3	CXCL12	C-X-C motif chemokine ligand 12
25976	4.93e-36	8.57e-39	0.132	-13.027199	-1.717492	1786.37	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
56521	1.07e-35	1.93e-38	0.151	-12.965184	-1.958543	858.89	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
100750247	1.42e-35	2.67e-38	0.136	-12.940224	-1.76076	3149.82	HIF1A-AS2	HIF1A antisense RNA 2
799	1.86e-35	3.62e-38	0.146	-12.916701	-1.885107	1002.25	CALCR	calcitonin receptor
7039	2.93e-35	5.90e-38	0.128	-12.879144	-1.644126	1641.88	TGFA	transforming growth factor alpha
857	3.02e-35	6.31e-38	0.118	-12.873946	-1.516107	2684.97	CAV1	caveolin 1
23541	2.54e-34	5.47e-37	0.253	-12.706154	-3.220065	265.43	SEC14L2	SEC14 like lipid binding 2
5525	1.00e-33	2.23e-36	0.126	-12.595731	-1.582931	2644.86	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
